Category;Count;;Sub-Category;Count;;Sub-Sub-Category;Count-subcatagory;;Sub-Sub-Sub-Category;Count-Sub-Sub-Sub-Category;;Sub-Sub-Sub-sub-Category;Solution;Solution Main Category;Solution Category;Tag;Link to commit
Inefficient coding for target micro-architecure;;;;;;;;;;;;small shared memory;Reconfigure larger shared memory in VOLTA to increase L2 cache hit;Configure HW caches size;;GPU, Architecture specific;https://github.com/lattice/quda/commit/0dd4f75396999b649c759946fe0b53e6cd12aae0
Inefficient coding for target micro-architecure;;;;;;;;;;;;unnecessary memory access;;Reorder memory reference to improve spatial locality;;GPU;https://github.com/arrayfire/arrayfire/commit/46c66b5658beb84f4897581b16ae235f173ad97c
Inefficient coding for target micro-architecure;;;;;;;;;;;;Missed opportunity to use read-only data cache;caching frequently used read-only data in read-only data-cache improves performance;Reduce GPU-global memory access;Explicitly using __LDG();GPU;https://github.com/lattice/quda/commit/aa7049a587c6aec0d4979d1af5fb96e2c65d83c7
Inefficient coding for target micro-architecure;;;;;;;;;;;;;put frequently used read-only data in read-only constant memory;Reduce GPU-global memory access;;GPU;https://github.com/arrayfire/arrayfire/commit/f62199b77718b4f2e2748921b78055adb0405d9e
Inefficient coding for target micro-architecure;;;;;;;;;;;;missed compiler optimization;;Function inlining;;GPU, compiler;https://github.com/ginkgo-project/ginkgo/commit/827e5b2e173ccd07b734767022a1ae8a5ec0e454
Inefficient coding for target micro-architecure;;;;;;;;;;;;Instruction cache miss;Loop unrolling;Loop unrolling;;GPU, Architecture specific;https://github.com/gromacs/gromacs/commit/842c0f3e3d10c8b61529895e1c8a758d5aa894ab
Inefficient coding for target micro-architecure;;;;;;;;;;;;poor temporal reuse;;Reorder memory reference to improve temporal locality;;GPU;https://github.com/gromacs/gromacs/commit/cb313c7e66b36b25e4c54db9934cad613418ecd1
Inefficient coding for target micro-architecure;;;;;;;;;;;;bank conflict in reduction;;Data structure optimization for data locality;;GPU;https://github.com/lattice/quda/commit/78888086307d31e206a06023a6ee0cb055f8e0cf
Inefficient coding for target micro-architecure;;;;;;Inter-thread Data locality;4;2,15%;cache locality;4;;false sharing;thread aware strided data access to avoid cache-line sharing;Thread-aware data access;thread-aware data access;;https://github.com/xianyi/OpenBLAS/commit/831858b88351e350c9f6ad5c2d7f0c70d4cce18c
Inefficient coding for target micro-architecure;;;;;;;;;;;;;;Thread-aware data access;;;https://github.com/xianyi/OpenBLAS/commit/9fe3049de67495e1ca916141624c985a80f3d6cb
Inefficient coding for target micro-architecure;;;;;;;;;;;;;Change memory layout by adding pad to avoid false sharing;Data structure optimization for data locality;avoid false sharing by padding;;https://github.com/kokkos/kokkos/commit/75fd8bc29f91d876e62cc3234cfaf33da4bb34f2
Inefficient coding for target micro-architecure;;;;;;;;;;;;poor cache utilization due to thread scheduling;Thread-group tiling;thread scheduling to improve locality;CTA swizzling;GPU;https://github.com/lattice/quda/commit/60968d72cb4f6d1a62d8f5d959bf04a56d6c00a9
Inefficient coding for target micro-architecure;;;Micro-architectural inefficiency;22;11,83%;Missed compiler loop optimization;9;4,84%;missed unrolling;5;2,69%;;loop unrolling;Loop unrolling;;compiler;https://github.com/xianyi/OpenBLAS/commit/b06880c2cdfc8a0bd5caa2c1d62f7bba3611b932
Inefficient coding for target micro-architecure;;;;;;;;;;;;;loop unrolling;Loop unrolling;;;https://github.com/arrayfire/arrayfire/commit/7f3fe1ebaae10079e7e5b62913745d7ae022b4b2
Inefficient coding for target micro-architecure;;;;;;;;;;;;;loop unrolling;Loop unrolling;;;https://github.com/lattice/quda/commit/5f028db11bc5111032dc9ab107dc36b681728f60
Inefficient coding for target micro-architecure;;;;;;;;;;;;;loop unrolling;Loop unrolling;;;https://github.com/lattice/quda/commit/c3d7cba1d197a8c153ac639f41f98a4c76a0fd89
Inefficient coding for target micro-architecure;;;;;;;;;;;;;loop unrolling;Loop unrolling;;GPU;https://github.com/arrayfire/arrayfire/commit/928e77aed1db65680f9b6bfbfa4d7791bdb32511
Inefficient coding for target micro-architecure;;;;;;;;;unnecessary branch;1;;;;Enable compile time evaluation;;;https://github.com/arrayfire/arrayfire/commit/928e77aed1db65680f9b6bfbfa4d7791bdb32511
Inefficient coding for target micro-architecure;;;;;;;;;missed function inlining;3;;;;Function inlining;;compiler;https://github.com/libMesh/libmesh/commit/e0374afe79a9ac43d845a29013ff9e236c581c9e
Inefficient coding for target micro-architecure;;;;;;;;;;;;;;Function inlining;;;https://github.com/gromacs/gromacs/commit/99bf01ea5d1c6ada6daeebb054987fdd8c026f99
Inefficient coding for target micro-architecure;;;;;;;;;;;;;;Function inlining;;compiler;https://github.com/libMesh/libmesh/commit/090ec4de7e2fb25104cececac87d533c11fc13c7
Inefficient coding for target micro-architecure;;;;;;Loop carried dependence;1;;;;;;Eliminate loop carried dependence;Loop fission;;;https://github.com/lattice/quda/commit/c3d7cba1d197a8c153ac639f41f98a4c76a0fd89
Inefficient coding for target micro-architecure;;;;;;suboptimal computational kernel size for the target;6;3,23%;Inefficient SIMD width for Power 10;1;;;;Tuning kernel size;matrix dimension tuning;Power 10;https://github.com/xianyi/OpenBLAS/commit/7d46e31de1a206ea55ae31e7a0a1ae4b704458e0
Inefficient coding for target micro-architecure;;;;;;;;;Inefficient SIMD width for AMD Ryzen;1;;;Used less wide 128bit SIMD instruction;Tuning kernel size;;Architechture specific;https://github.com/gromacs/gromacs/commit/570db57b3ce38bd13c1ed3d13d1a34264f42e590
Inefficient coding for target micro-architecure;;;;;;;;;Improper value for one parameter;1;;;Increase value of P;Tuning kernel size;;;https://github.com/xianyi/OpenBLAS/commit/7b2f5cb3b7378b3111010678bd1433ebdb13d9a6
Inefficient coding for target micro-architecure;;;;;;;;;Improper parameter values for Power10;1;;;Increasing the values of two parameter;Tuning kernel size;;Architechture specific;https://github.com/xianyi/OpenBLAS/commit/41fe6e864ed70860cda1b1ccef09b55caf41fec9
Inefficient coding for target micro-architecure;;;;;;;;;Improper parameter values for Power10;1;;;Modification of some parameters;Tuning kernel size;;;https://github.com/xianyi/OpenBLAS/commit/9579bd47e53fb65cca2f27e92340d1c08e745068
Inefficient coding for target micro-architecure;;;;;;;;;Improper parameter values for SKYLAKEX CPUs;1;;Unnecessary pressure on main memory;Increasing the value of one parameter;Tuning kernel size;;;https://github.com/xianyi/OpenBLAS/commit/1c675670081422b8a3d7f0998dfd7d1454c0d2bd
Inefficient coding for target micro-architecure;;;;;;Use of slow instruction set;3;;;;;;Replace slow vpermpd instruction with vpermilpd for AMD CPU;Architecture specific fast instruction;;;https://github.com/xianyi/OpenBLAS/commit/2dfb804cb943ac12035fe51859d109daca76b4f4
Inefficient coding for target micro-architecure;;;;;;;;;;;;;Replace slow vpermpd instruction with vpermilpd for AMD CPU;Architecture specific fast instruction;;;https://github.com/xianyi/OpenBLAS/commit/28e96458e5a4b2d8039ed16048a07892a7c960bf
Inefficient coding for target micro-architecure;;;;;;;;;;;;;Used vector pair pointers to generate power10 lxvp instructions;Architecture specific fast instruction;;;https://github.com/xianyi/OpenBLAS/commit/2379abaa5e6d559d58735f43e10d68c192724ea2
Inefficient coding for target micro-architecure;;;;;;suboptimal API for the target architecture;3;;Improper value for greedy parameter;1;;;Disable greedy indexing;Architecture specific logic modification;;;https://github.com/arrayfire/arrayfire/commit/8b9756e8f31303110a195326319f4782bf9cdb54
Inefficient coding for target micro-architecure;;;;;;;;;;;;;Conditional code execution for AMD GPU;Architecture specific logic modification;;;https://github.com/openmm/openmm/commit/138ae18003e2d688939680342d9126d116bb08ea
Inefficient coding for target micro-architecure;;;;;;;;;;;;;Removed unnecessary condtion checking;Architecture specific logic modification;;;https://github.com/openmm/openmm/commit/4cf4328e1e3ae8f49adbb9aadad4ac86e3478825
Missing parallelism;12;6,45%;Vector/SIMD parallelism;5;2,69%;;;;;;;;;Introduce vectorization;;;https://github.com/lattice/quda/commit/5f028db11bc5111032dc9ab107dc36b681728f60
Missing parallelism;;;;;;;;;;;;;;Introduce vectorization;;;https://github.com/xianyi/OpenBLAS/commit/0ed1f07660b1836e530d5d9b0a140a36a8bca39d
Missing parallelism;;;;;;;;;;;;;;Introduce vectorization;;;https://github.com/xianyi/OpenBLAS/commit/1b1a757f5f389b9496f016defaecccb63c415fa6
Missing parallelism;;;;;;;;;;;;;;Introduce vectorization;;;https://github.com/xianyi/OpenBLAS/commit/8c0b206d4cf9909017a52919a41406ee303f472e
Missing parallelism;;;;;;;;;;;;;;Introduce vectorization;;;https://github.com/lattice/quda/commit/5f028db11bc5111032dc9ab107dc36b681728f60
Missing parallelism;;;GPU parallelism;2;;;;;;;;;;OpenMP;;;https://github.com/hypre-space/hypre/commit/a05d1942c9a1db25c6fa4c0c290fa312dc451a84
Missing parallelism;;;;;;;;;;;;;;Loop unrolling;;;https://github.com/lattice/quda/commit/9b1428de8d8bab09b1286662cda62fca0902ad43
Missing parallelism;;;Instruction level parallelism;1;;;;;;;;;;Loop unrolling;eliminate loop carried dependence;;https://github.com/lattice/quda/commit/d549434c03da00f458692dc560a69a178875b22c
Missing parallelism;;;Task parallelism;4;;;;;;;;;;OpenMP;OpenMP parallel sections;;https://github.com/GOMC-WSU/GOMC/commit/37a6bfd986b43e76f41865da4da2cbaadfd28fc6
Missing parallelism;;;;;;;;;;;;;;pthread-based paralleism;Loop-level parallelism;;https://github.com/TileDB-Inc/TileDB/commit/96eb2d5c8dae52fe768ea8bd947676af3d536168
Missing parallelism;;;;;;;;;;;;;;pthread-based paralleism;;;https://github.com/xianyi/OpenBLAS/commit/d6e7e05bb36d77f26274abf7d8be03dd2bd78c1d
Missing parallelism;;;;;;;;;;;;;introduce parallel for;oneAPI;Loop-level parallelism;;https://github.com/CGAL/cgal/commit/c707ee0e13ccdd0a1948d770738ed232eba5a039
Parallelization overhead/inefficiency;15;8,06%;small parallel region;5;;;;;;;;;The code only performs omp parallel atomic operation;reduce parallelization;;;https://github.com/ginkgo-project/ginkgo/commit/490fd31b23e7940771a5ef27ff2e037ba9cd06d4
Parallelization overhead/inefficiency;;;;;;;;;;;;;;Tune task size;move parallelization to outer loop;CPU+GPU;https://github.com/ginkgo-project/ginkgo/commit/b187da0d13a67e9b7153c3f56cfd30a6a87c27e2
Parallelization overhead/inefficiency;;;;;;;;;;;;;;Tune task size;increase workload per thread;raja, opemp,cuda;https://github.com/mfem/mfem/commit/2ae97ff2da232fba7bbd83a9076c9b2bfb1e652c
Parallelization overhead/inefficiency;;;;;;;;;;;;;simd;Tune task size;;architecture specific, cpu;https://github.com/xianyi/OpenBLAS/commit/5c6f008365ee3c6d42f8630d27259f130a688468
Parallelization overhead/inefficiency;;;;;;;;;;;;;;Tune task size;;GPU;https://github.com/gromacs/gromacs/commit/1789c5d65521752540a7017427e0544ab8749a04
Parallelization overhead/inefficiency;;;Inefficeint thread mapping / inefficient block size / Load imbalance;2;;;;;;;;;;Tune task size;set blocksize;GPU;https://github.com/lattice/quda/commit/4ef8d8a53e32a2480c5e502aeaa9af2ce04fc088
Parallelization overhead/inefficiency;;;;;;;;;;;;;;Tune task size;set blocksize;GPU;https://github.com/lattice/quda/commit/85afe1933fa44d4cad0ce0d51cded0a802f2139a
Parallelization overhead/inefficiency;;;;2;;;;;;;;;;Tune task size;set blocksize;GPU;https://github.com/kokkos/kokkos/commit/501f05661d1430a6e5ec19c0cbc7977a608d5dce
Parallelization overhead/inefficiency;;;;;;;;;;;;;;Explicitly set thread numbers;;;https://github.com/gromacs/gromacs/commit/cd01238b6b0eca4ddf115efc3abda44e98eabe6d
Parallelization overhead/inefficiency;;;;2;;;;;;;;;;Sort workload and schedule;;GPU;https://github.com/gromacs/gromacs/commit/f026e69e84630ab6b63b6c0cfbef0503477a6951
Parallelization overhead/inefficiency;;;;;;inefficient thread mapping;1;;;;;;;Tune task size;;;https://github.com/lattice/quda/commit/4ef8d8a53e32a2480c5e502aeaa9af2ce04fc088
Parallelization overhead/inefficiency;;;Under-parallelization;2;;;;;;;;;;Explicitly set thread numbers;;;https://github.com/gromacs/gromacs/commit/20dae8ae3667e788c3fccab70193c022345a7b33
Parallelization overhead/inefficiency;;;;;;;;;;;;;;Tune task size;;;https://github.com/arrayfire/arrayfire/commit/565caf5df8c6941410ad025bf88ad9c230b4b06c
Parallelization overhead/inefficiency;;;Over-Parallelization;2;;;;;;;;;;Explicitly set thread numbers;;;https://github.com/xianyi/OpenBLAS/commit/0c1c903f1eb79719aa159b497cc2089d9fe61556
Parallelization overhead/inefficiency;;;;;;;;;;;;;;Explicitly set thread numbers;;GPU;https://github.com/ginkgo-project/ginkgo/commit/646c2cc6cf402514ff8eced008c3b60566f5277d
Inefficient Concurrency control and synchronization;7;3,76%;Unncessary locks;3;;;;;;;;;;Eliminate unnecessary lock;by condition check;;https://github.com/xianyi/OpenBLAS/commit/3119b2ab4c0d9cf7c681b8abbb6b4e4ec7e13b8a
Inefficient Concurrency control and synchronization;;;;;;;;;;;;;;Eliminate unnecessary lock;by condition check;;https://github.com/CGAL/cgal/commit/f8449dcec4a48873c814300b1012b3ba37de5ef7
Inefficient Concurrency control and synchronization;;;;;;coarse-grain locks;;;;;;;;Eliminate unnecessary lock;by unlock early;;https://github.com/TileDB-Inc/TileDB/commit/236dd7b5a57eaf4f6ea818161767764438eda54d
Inefficient Concurrency control and synchronization;;;Unncessary strong memory consistency;1;;;;;;;;;;Replace strong consistency with an weaker one;Eliminate strong memory fence in the presenece of cache consistency;unintended compiler optimization, architecture specific;https://github.com/xianyi/OpenBLAS/commit/d148ec4ea18e672dacb1270d4a5308ccaaae18bc
Inefficient Concurrency control and synchronization;;;Lock management overhead;1;;;;;;;;;;Efficient lock implementation with atomics;replaced locks with atomic intrinsics;;https://github.com/xianyi/OpenBLAS/commit/208c7e7ca50a8bfdfabbec750bdc538023c94aed
Inefficient Concurrency control and synchronization;;;Unnecessary synchronization;2;;;;;;;;;;Eliminate unncessary synchronization;;;https://github.com/openmm/openmm/commit/082019994d4c4a60629777164caa43edb43b60d8
Inefficient Concurrency control and synchronization;;;;;;;;;;;;;;Rewrite kernel to make memory access warp-synchronous;;;https://github.com/gromacs/gromacs/commit/bb4128daf630719a670dc795b2cf2cc937c2c8f1
Unnecessary process communiction;2;;;;;;;;;;;;;Avoid unnecessary communication;;;https://github.com/gromacs/gromacs/commit/0a5a594e3eb093bc0e4183066ac5ccee1ba32c57
Unnecessary process communiction;;;;;;;;;;;;;;Avoid unnecessary communication;;;https://github.com/libMesh/libmesh/commit/24a22afdcac7061f41f7bf89c5a88cdf014fb4f1
Inefficient algorithm /data-structure and their implementation;73;39,25%;Unnecessary operation/traversal/function call;13;6,99%;Unnecessary computation;2;;;;;;;Reduce iteration/traversal of data structure;data structure design to avoid unnecessary particle collition detection;;https://github.com/OpenFOAM/OpenFOAM-dev/commit/91e84b9004c4a9be2c135465617783f21d28dc71
;;;;;;;;;;;;;;Reduce iteration/traversal of data structure;reduce iteration/traversal of data structure;;https://github.com/gromacs/gromacs/commit/7b4d632dd09d0714f65ec48d7380084d65907c4b
;;;;;;Unnecessary function call;1;;;;;;;Eliminating unnecessary operation;;;https://github.com/lattice/quda/commit/cc5e859c7f776475e235fcb2fc7cc3ef7b6926e4
;;;;;;Inefficient sparse array computation;1;;;;;;Stores compressed data for sparse array;data structure transformation;;;https://github.com/TileDB-Inc/TileDB/commit/f4c61783d886b337acf30772e5912cbbe286685f
;;;;;;Unnecessary traversal;8;4,30%;;;;;Search sorted data-structure and stop when found;Reduce iteration/traversal of data structure;bail out early;;https://github.com/openmm/openmm/commit/8bcff367565b896f7468161480f4d446254a8a13
;;;;;;;;;;;;;;Reduce iteration/traversal of data structure;;;https://github.com/CGAL/cgal/commit/c66604509d6f0aec527b35d119698cf798da838f
;;;;;;;;;;;;;;Reduce iteration/traversal of data structure;narrow search space;;https://github.com/mlpack/mlpack/commit/18f4b5ce035f0f4cd37bbe4436795d93b31fb872
;;;;;;;;;;;;;;Reduce iteration/traversal of data structure;bail out early;;https://github.com/xianyi/OpenBLAS/commit/2470129132df121aa922e4abe955c64a5d1385cb
;;;;;;;;;;;;;;Reduce iteration/traversal of data structure;bail out early;;https://github.com/CGAL/cgal/commit/73e9e867c20742e2b8dcc65a0606118094c00c46
;;;;;;;;;;;;;;Reduce iteration/traversal of data structure;bail out early;;https://github.com/lammps/lammps/commit/c3aa705d0409ddf9457cd1ba86e43ef10fc42d6e
;;;;;;;;;;;;;;lower complexity algorithm - domain specific;Tuning parameter - Domain specific;;https://github.com/mlpack/mlpack/commit/309b766e6642805fa805cedb4563477f8dcf5419
;;;;;;;;;unnecessary sort;;;;;Eliminating unnecessary operation;;;https://github.com/hypre-space/hypre/commit/827e7997de0179d9ed0787ff0c307e36ceb2ecbc
;;;;;;Unnecessary itermediate variable usage;1;;;;;;;kernel fusion;;;https://github.com/lammps/lammps/commit/bcfc606efb2622e9afdfae6984f6b01a187f0997
;;;Redundant operation;16;8,60%;Redundant traversal;1;;;;;;Caching the result of past traversal;caching;;;https://github.com/CGAL/cgal/commit/351249b03c662c4aa53b289f9ceb61c0a8067926
;;;;;;Redundant allocation;2;;;;;;;Loop invariant code motion;;;https://github.com/CGAL/cgal/commit/e9cc8bcd5e71ca0b9b7b5888b7d400f9e24417d4
;;;;;;;;;;;;;;Loop invariant code motion;Allocate outside loop and reuse;;https://github.com/arrayfire/arrayfire/commit/ee30e2729744afb157276107e1f74b4085b38e72
;;;;;;Redundant computation;12;6,45%;multtranspose in loop;;;;;Loop invariant code motion;;;https://github.com/mfem/mfem/commit/2c9ee23a19c62b98da270a05dc868c17f070a788
;;;;;;;;;;;;;;Loop invariant code motion;;;https://github.com/casadi/casadi/commit/43880425898271af55d22a651597f98d0a3562b6
;;;;;;;;;Dead store;;;;;Eliminating unnecessary operation;;;https://github.com/mlpack/mlpack/commit/18f4b5ce035f0f4cd37bbe4436795d93b31fb872
;;;;;;;;;;;;;avoid expensive function call if matrix size is small;Eliminating unnecessary operation;;;https://github.com/xianyi/OpenBLAS/commit/66316b9f4c8c7c48eed8b29e86f64581c02d45b0
;;;;;;;;;Redundant sort operation;;;;;Loop invariant code motion;;;https://github.com/libMesh/libmesh/commit/1ad14f2705496281cbc7afd603ed513cab557e15
;;;;;;;;;;;;;;caching;;;https://github.com/casadi/casadi/commit/181681828aea630a0b827c9bc2b35ffaf8110b1c
;;;;;;;;;;;;;Removed unnecessary vector copy inside loop;Eliminating unnecessary operation;;;https://github.com/mlpack/mlpack/commit/5e1d0dacd0121243ba1aa9258992931d0839666d
;;;;;;;;;;;;;;caching;;;https://github.com/gromacs/gromacs/commit/8a1938afdccd41b96eed056bd8b8ed49632008fb
;;;;;;;;;;;;;;scalar replacement;;;https://github.com/arrayfire/arrayfire/commit/dca852e2d53a2b606b7aa4cf5990ab99a9b3b67e
;;;;;;;;;;;;;Added condition filtering before computation;Eliminating unnecessary operation;;;https://github.com/kokkos/kokkos/commit/b7dc696a5fec15e29ccc35da352f7398ce864b29
;;;;;;;;;Redundant variable assignment operation;;;;Removed extra variable assignment;Avoid memory dereference by storing in register;;;https://github.com/hypre-space/hypre/commit/d1fff3e84d5f6a74e601bcc89c9dcc49c6235213
;;;;;;;;;Redundant list splitting due to integer overflow;;;;Avoid integer overflow;fix programming error;;;https://github.com/gromacs/gromacs/commit/f7c18fba349729f99e30f22567679c541a61c1df
;;;;;;Unnecessary branching (??);1;;Removing branch in function (branch optimization);;;;;code specialization;;;https://github.com/TileDB-Inc/TileDB/commit/0a4d55b5dd4347f2a4d4fbfab866e3dbdbdb00f2
;;;Expensive operation;29;15,59%;Expensive algorithm;3;;;;;;;lower complexity algorithm - domain specific;;;https://github.com/gromacs/gromacs/commit/7a61f0409c88b284c557a0c693879327934b2e89
;;;;;;;;;;;;;use binary search;lower complexity algorithm - domain and arch agnostic;;;https://github.com/gromacs/gromacs/commit/a711d4142629a31d92f7bbce8b8a51888f52e88f
;;;;;;;;;;;;;;lower complexity algorithm - domain specific;;;https://github.com/llnl/elemental/commit/b76dea7a9609b838e0084549f330bff17c3f6500
;;;;;;Expensive runtime evaluation;3;;;;;;;caching;;;https://github.com/openmm/openmm/commit/84691dc465f58f60341b196657276ddc381e6f59
;;;;;;;;;;;;;;Enable compile time evaluation;;;https://github.com/arrayfire/arrayfire/commit/f62199b77718b4f2e2748921b78055adb0405d9e
;;;;;;;;;;;;;Evaluate log(x) using a lookup table for speed.;caching;;;https://github.com/openmm/openmm/commit/f39a55452514041325abb3f6fe2512e437fa877e
;;;;;;Expensive many memory references;3;;Expensive data-structure traversal;;;;;strength reduction;;;https://github.com/lattice/quda/commit/e04b189e232392b36d0140bdb53bd5d0af9d05b6
;;;;;;;;;;;;;;caching;;;https://github.com/gromacs/gromacs/commit/829af878484af51490a1da82b426019e3119a079
;;;;;;;;;;;;;fast approximation to avoid table lookup;Avoid memory dereference by storing in register;approximation;;https://github.com/openmm/openmm/commit/0e5d3fb1f02cad944327d4d921dd5c8fbf310ba2
;;;;;;Expensive atomic call;1;;API miss use;;;;;Faster API call;;;https://github.com/kokkos/kokkos/commit/0b636c910085f4b8414e06321c0cc276d29fa654
;;;;;;Expensive computational kernel for a target architecture;3;;;;;;;Architecture specific fast kernel;;;https://github.com/xianyi/OpenBLAS/commit/d321448a63954d536f90592cd0cc53c304b08d2e
;;;;;;;;;;;;;;Architecture specific fast kernel;;;https://github.com/xianyi/OpenBLAS/commit/89fe17f20e7d1d10a7ec3315bf9b1816a3d47ce9
;;;;;;;;;;;;;;Architecture specific fast kernel;;;https://github.com/xianyi/OpenBLAS/commit/c43331ad0aeaefe4b4d90aab06c93655c851feab
;;;;;;expensive high precision calculation;3;;;;;;replace with reduced precision math library;reduced precision;;;https://github.com/arrayfire/arrayfire/commit/d0d87ab2525af162de48764a0e4634110ab7d00f
;;;;;;;;;;;;;;reduced precision;;;https://github.com/lattice/quda/commit/955ea6cae8e358b942183ca30d44d1f3ca3d7296
;;;;;;;;;;;;;;reduced precision;;;https://github.com/gromacs/gromacs/commit/4cd608ba1c6b677472b3dfcb19cc5f15ebe9e639
