Category,Count,,Sub-Category,Count,,Sub-Sub-Category,Count-subcatagory,,Sub-Sub-Sub-Category,Count-Sub-Sub-Sub-Category,,Sub-Sub-Sub-sub-Category,Solution,Solution Main Category,Solution Category,Link to commit
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,Memory alignment,1,,memory miss-allignment for vector operation,,Data structure optimization for data locality,memory aligned data-structure,https://github.com/openmm/openmm/commit/b1be68d873e649ab07ae6c65f017163066373123
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU Register spilling,3,,Compiler failure,Explicitly use __constant__ to store in GPU constant memory,Explicit use of constant memory,,https://github.com/lattice/quda/commit/b7857af47ff2e8e8162a250a4adefba55680b1c9
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU Register spilling,,,,Explicitly use constant index to avoid register spill by the compiler,Enable compile time evaluation,,https://github.com/gromacs/gromacs/commit/589e11b78d73fa5a7b34a71bb58f3c304984dc34
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU Register spilling,,,unnecessary register use,Efficient implementation to avoid unncessary register usage,Use of data types that reduces computation and memory overhead,,https://github.com/gromacs/gromacs/commit/85c36b9a1ca9c62702da2a0d6f97853c9f1d889c
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,Host-GPU device data communication,2,,unpinned host memory,Send data through pinned host memory (cuMemHostAlloc),Memory pinning,,https://github.com/openmm/openmm/commit/926e7b9ac11a8614f310b59a2d786788771ccb5b
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,Host-GPU device data communication,,,unnecessary synchronous data copy,asynchronous data copy via kernel initialization,Async data transfer between host and device,,https://github.com/ginkgo-project/ginkgo/commit/154aafbd57e93e4ede30b1566d2bf03e7c1b096e
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,13,"6,99%",Unnecessarily using global constant memory,,Reduce GPU-global memory access,Use Texture memory instead of global constant memory,https://github.com/arrayfire/arrayfire/commit/d8d8c439c8d0a43c0f92b11fd06133be80754ab8
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,,,Reduce GPU-global memory access,,https://github.com/arrayfire/arrayfire/commit/113cb18160a31d8ee04d11969bc57ff1628bda50
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,Un-coalesced memory access,Thread-aware data access,Thread-aware data access,,https://github.com/arrayfire/arrayfire/commit/dd97ce5e041d22cdcb6bf7a66baca51c2491c767
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,inefficient use of Texture memory,,Avoid using GPU texture memory,,https://github.com/gromacs/gromacs/commit/3e52c82b8ffa11bfa318396eb8e86cbd0f9b7446
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,Use of high latency global memory,replaced with low latency shared memory,Reduce GPU-global memory access,,https://github.com/gromacs/gromacs/commit/8aa14d11ff775055794360a655fe800deea298a8
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,small shared memory,Reconfigure larger shared memory in VOLTA to increase L2 cache hit,Configure HW caches size,,https://github.com/lattice/quda/commit/0dd4f75396999b649c759946fe0b53e6cd12aae0
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,unnecessary memory access,,Reorder memory reference to improve spatial locality,,https://github.com/arrayfire/arrayfire/commit/46c66b5658beb84f4897581b16ae235f173ad97c
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,Missed opportunity to use read-only data cache,caching frequently used read-only data in read-only data-cache improves performance,Reduce GPU-global memory access,Explicitly using __LDG(),https://github.com/lattice/quda/commit/aa7049a587c6aec0d4979d1af5fb96e2c65d83c7
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,,put frequently used read-only data in read-only constant memory,Reduce GPU-global memory access,,https://github.com/arrayfire/arrayfire/commit/f62199b77718b4f2e2748921b78055adb0405d9e
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,missed compiler optimization,,Function inlining,,https://github.com/ginkgo-project/ginkgo/commit/827e5b2e173ccd07b734767022a1ae8a5ec0e454
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,Instruction cache miss,Loop unrolling,Loop unrolling,,https://github.com/gromacs/gromacs/commit/842c0f3e3d10c8b61529895e1c8a758d5aa894ab
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,poor temporal reuse,,Reorder memory reference to improve temporal locality,,https://github.com/gromacs/gromacs/commit/cb313c7e66b36b25e4c54db9934cad613418ecd1
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,GPU memory,,,bank conflict in reduction,,Data structure optimization for data locality,,https://github.com/lattice/quda/commit/78888086307d31e206a06023a6ee0cb055f8e0cf
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Inter-thread Data locality,4,"2,15%",cache locality,4,,false sharing,thread aware strided data access to avoid cache-line sharing,Thread-aware data access,thread-aware data access,https://github.com/xianyi/OpenBLAS/commit/831858b88351e350c9f6ad5c2d7f0c70d4cce18c
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Inter-thread Data locality,,,cache locality,,,,,Thread-aware data access,,https://github.com/xianyi/OpenBLAS/commit/9fe3049de67495e1ca916141624c985a80f3d6cb
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Inter-thread Data locality,,,cache locality,,,,Change memory layout by adding pad to avoid false sharing,Data structure optimization for data locality,avoid false sharing by padding,https://github.com/kokkos/kokkos/commit/75fd8bc29f91d876e62cc3234cfaf33da4bb34f2
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Inter-thread Data locality,,,cache locality,,,poor cache utilization due to thread scheduling,Thread-group tiling,thread scheduling to improve locality,CTA swizzling,https://github.com/lattice/quda/commit/60968d72cb4f6d1a62d8f5d959bf04a56d6c00a9
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,22,"11,83%",Missed compiler loop optimization,9,"4,84%",missed unrolling,5,"2,69%",,loop unrolling,Loop unrolling,,https://github.com/xianyi/OpenBLAS/commit/b06880c2cdfc8a0bd5caa2c1d62f7bba3611b932
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Missed compiler loop optimization,,,missed unrolling,,,,loop unrolling,Loop unrolling,,https://github.com/arrayfire/arrayfire/commit/7f3fe1ebaae10079e7e5b62913745d7ae022b4b2
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Missed compiler loop optimization,,,missed unrolling,,,,loop unrolling,Loop unrolling,,https://github.com/lattice/quda/commit/5f028db11bc5111032dc9ab107dc36b681728f60
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Missed compiler loop optimization,,,missed unrolling,,,,loop unrolling,Loop unrolling,,https://github.com/lattice/quda/commit/c3d7cba1d197a8c153ac639f41f98a4c76a0fd89
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Missed compiler loop optimization,,,missed unrolling,,,,loop unrolling,Loop unrolling,,https://github.com/arrayfire/arrayfire/commit/928e77aed1db65680f9b6bfbfa4d7791bdb32511
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Missed compiler loop optimization,,,unnecessary branch,1,,,,Enable compile time evaluation,,https://github.com/arrayfire/arrayfire/commit/928e77aed1db65680f9b6bfbfa4d7791bdb32511
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Missed compiler loop optimization,,,missed function inlining,3,,,,Function inlining,,https://github.com/libMesh/libmesh/commit/e0374afe79a9ac43d845a29013ff9e236c581c9e
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Missed compiler loop optimization,,,missed function inlining,,,,,Function inlining,,https://github.com/gromacs/gromacs/commit/99bf01ea5d1c6ada6daeebb054987fdd8c026f99
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Missed compiler loop optimization,,,missed function inlining,,,,,Function inlining,,https://github.com/libMesh/libmesh/commit/090ec4de7e2fb25104cececac87d533c11fc13c7
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Loop carried dependence,1,,missed function inlining,,,,Eliminate loop carried dependence,Loop fission,,https://github.com/lattice/quda/commit/c3d7cba1d197a8c153ac639f41f98a4c76a0fd89
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,suboptimal computational kernel size for the target,6,"3,23%",Inefficient SIMD width for Power 10,1,,,,Tuning kernel size,matrix dimension tuning,https://github.com/xianyi/OpenBLAS/commit/7d46e31de1a206ea55ae31e7a0a1ae4b704458e0
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,suboptimal computational kernel size for the target,,,Inefficient SIMD width for AMD Ryzen,1,,,Used less wide 128bit SIMD instruction,Tuning kernel size,,https://github.com/gromacs/gromacs/commit/570db57b3ce38bd13c1ed3d13d1a34264f42e590
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,suboptimal computational kernel size for the target,,,Improper value for one parameter,1,,,Increase value of P,Tuning kernel size,,https://github.com/xianyi/OpenBLAS/commit/7b2f5cb3b7378b3111010678bd1433ebdb13d9a6
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,suboptimal computational kernel size for the target,,,Improper parameter values for Power10,1,,,Increasing the values of two parameter,Tuning kernel size,,https://github.com/xianyi/OpenBLAS/commit/41fe6e864ed70860cda1b1ccef09b55caf41fec9
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,suboptimal computational kernel size for the target,,,Improper parameter values for Power10,1,,,Modification of some parameters,Tuning kernel size,,https://github.com/xianyi/OpenBLAS/commit/9579bd47e53fb65cca2f27e92340d1c08e745068
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,suboptimal computational kernel size for the target,,,Improper parameter values for SKYLAKEX CPUs,1,,Unnecessary pressure on main memory,Increasing the value of one parameter,Tuning kernel size,,https://github.com/xianyi/OpenBLAS/commit/1c675670081422b8a3d7f0998dfd7d1454c0d2bd
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Use of slow instruction set,3,,,,,,Replace slow vpermpd instruction with vpermilpd for AMD CPU,Architecture specific fast instruction,,https://github.com/xianyi/OpenBLAS/commit/2dfb804cb943ac12035fe51859d109daca76b4f4
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Use of slow instruction set,,,,,,,Replace slow vpermpd instruction with vpermilpd for AMD CPU,Architecture specific fast instruction,,https://github.com/xianyi/OpenBLAS/commit/28e96458e5a4b2d8039ed16048a07892a7c960bf
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,Use of slow instruction set,,,,,,,Used vector pair pointers to generate power10 lxvp instructions,Architecture specific fast instruction,,https://github.com/xianyi/OpenBLAS/commit/2379abaa5e6d559d58735f43e10d68c192724ea2
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,suboptimal API for the target architecture,3,,Improper value for greedy parameter,1,,,Disable greedy indexing,Architecture specific logic modification,,https://github.com/arrayfire/arrayfire/commit/8b9756e8f31303110a195326319f4782bf9cdb54
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,suboptimal API for the target architecture,,,,,,,Conditional code execution for AMD GPU,Architecture specific logic modification,,https://github.com/openmm/openmm/commit/138ae18003e2d688939680342d9126d116bb08ea
Inefficient coding for target micro-architecure,,,Micro-architectural inefficiency,,,suboptimal API for the target architecture,,,,,,,Removed unnecessary condtion checking,Architecture specific logic modification,,https://github.com/openmm/openmm/commit/4cf4328e1e3ae8f49adbb9aadad4ac86e3478825
Missing parallelism,12,"6,45%",Vector/SIMD parallelism,5,"2,69%",,,,,,,,,Introduce vectorization,,https://github.com/lattice/quda/commit/5f028db11bc5111032dc9ab107dc36b681728f60
Missing parallelism,,,Vector/SIMD parallelism,,,,,,,,,,,Introduce vectorization,,https://github.com/xianyi/OpenBLAS/commit/0ed1f07660b1836e530d5d9b0a140a36a8bca39d
Missing parallelism,,,Vector/SIMD parallelism,,,,,,,,,,,Introduce vectorization,,https://github.com/xianyi/OpenBLAS/commit/1b1a757f5f389b9496f016defaecccb63c415fa6
Missing parallelism,,,Vector/SIMD parallelism,,,,,,,,,,,Introduce vectorization,,https://github.com/xianyi/OpenBLAS/commit/8c0b206d4cf9909017a52919a41406ee303f472e
Missing parallelism,,,Vector/SIMD parallelism,,,,,,,,,,,Introduce vectorization,,https://github.com/lattice/quda/commit/5f028db11bc5111032dc9ab107dc36b681728f60
Missing parallelism,,,GPU parallelism,2,,,,,,,,,,OpenMP,,https://github.com/hypre-space/hypre/commit/a05d1942c9a1db25c6fa4c0c290fa312dc451a84
Missing parallelism,,,GPU parallelism,,,,,,,,,,,Loop unrolling,,https://github.com/lattice/quda/commit/9b1428de8d8bab09b1286662cda62fca0902ad43
Missing parallelism,,,Instruction level parallelism,1,,,,,,,,,,Loop unrolling,eliminate loop carried dependence,https://github.com/lattice/quda/commit/d549434c03da00f458692dc560a69a178875b22c
Missing parallelism,,,Task parallelism,4,,,,,,,,,,OpenMP,OpenMP parallel sections,https://github.com/GOMC-WSU/GOMC/commit/37a6bfd986b43e76f41865da4da2cbaadfd28fc6
Missing parallelism,,,Task parallelism,,,,,,,,,,,pthread-based paralleism,Loop-level parallelism,https://github.com/TileDB-Inc/TileDB/commit/96eb2d5c8dae52fe768ea8bd947676af3d536168
Missing parallelism,,,Task parallelism,,,,,,,,,,,pthread-based paralleism,,https://github.com/xianyi/OpenBLAS/commit/d6e7e05bb36d77f26274abf7d8be03dd2bd78c1d
Missing parallelism,,,Task parallelism,,,,,,,,,,introduce parallel for,oneAPI,Loop-level parallelism,https://github.com/CGAL/cgal/commit/c707ee0e13ccdd0a1948d770738ed232eba5a039
Parallelization overhead/inefficiency,15,"8,06%",small parallel region,5,,,,,,,,,The code only performs omp parallel atomic operation,reduce parallelization,,https://github.com/ginkgo-project/ginkgo/commit/490fd31b23e7940771a5ef27ff2e037ba9cd06d4
Parallelization overhead/inefficiency,,,small parallel region,,,,,,,,,,,Tune task size,move parallelization to outer loop,https://github.com/ginkgo-project/ginkgo/commit/b187da0d13a67e9b7153c3f56cfd30a6a87c27e2
Parallelization overhead/inefficiency,,,small parallel region,,,,,,,,,,,Tune task size,increase workload per thread,https://github.com/mfem/mfem/commit/2ae97ff2da232fba7bbd83a9076c9b2bfb1e652c
Parallelization overhead/inefficiency,,,small parallel region,,,,,,,,,,simd,Tune task size,,https://github.com/xianyi/OpenBLAS/commit/5c6f008365ee3c6d42f8630d27259f130a688468
Parallelization overhead/inefficiency,,,small parallel region,,,,,,,,,,,Tune task size,,https://github.com/gromacs/gromacs/commit/1789c5d65521752540a7017427e0544ab8749a04
Parallelization overhead/inefficiency,,,Inefficeint thread mapping / inefficient block size / Load imbalance,2,,,,,,,,,,Tune task size,set blocksize,https://github.com/lattice/quda/commit/4ef8d8a53e32a2480c5e502aeaa9af2ce04fc088
Parallelization overhead/inefficiency,,,Inefficeint thread mapping / inefficient block size / Load imbalance,,,,,,,,,,,Tune task size,set blocksize,https://github.com/lattice/quda/commit/85afe1933fa44d4cad0ce0d51cded0a802f2139a
Parallelization overhead/inefficiency,,,Inefficeint thread mapping / inefficient block size / Load imbalance,2,,,,,,,,,,Tune task size,set blocksize,https://github.com/kokkos/kokkos/commit/501f05661d1430a6e5ec19c0cbc7977a608d5dce
Parallelization overhead/inefficiency,,,Inefficeint thread mapping / inefficient block size / Load imbalance,,,,,,,,,,,Explicitly set thread numbers,,https://github.com/gromacs/gromacs/commit/cd01238b6b0eca4ddf115efc3abda44e98eabe6d
Parallelization overhead/inefficiency,,,Inefficeint thread mapping / inefficient block size / Load imbalance,2,,,,,,,,,,Sort workload and schedule,,https://github.com/gromacs/gromacs/commit/f026e69e84630ab6b63b6c0cfbef0503477a6951
Parallelization overhead/inefficiency,,,Inefficeint thread mapping / inefficient block size / Load imbalance,,,inefficient thread mapping,1,,,,,,,Tune task size,,https://github.com/lattice/quda/commit/4ef8d8a53e32a2480c5e502aeaa9af2ce04fc088
Parallelization overhead/inefficiency,,,Under-parallelization,2,,,,,,,,,,Explicitly set thread numbers,,https://github.com/gromacs/gromacs/commit/20dae8ae3667e788c3fccab70193c022345a7b33
Parallelization overhead/inefficiency,,,Under-parallelization,,,,,,,,,,,Tune task size,,https://github.com/arrayfire/arrayfire/commit/565caf5df8c6941410ad025bf88ad9c230b4b06c
Parallelization overhead/inefficiency,,,Over-Parallelization,2,,,,,,,,,,Explicitly set thread numbers,,https://github.com/xianyi/OpenBLAS/commit/0c1c903f1eb79719aa159b497cc2089d9fe61556
Parallelization overhead/inefficiency,,,Over-Parallelization,,,,,,,,,,,Explicitly set thread numbers,,https://github.com/ginkgo-project/ginkgo/commit/646c2cc6cf402514ff8eced008c3b60566f5277d
Inefficient Concurrency control and synchronization,7,"3,76%",Unncessary locks,3,,,,,,,,,,Eliminate unnecessary lock,by condition check,https://github.com/xianyi/OpenBLAS/commit/3119b2ab4c0d9cf7c681b8abbb6b4e4ec7e13b8a
Inefficient Concurrency control and synchronization,,,Unncessary locks,,,,,,,,,,,Eliminate unnecessary lock,by condition check,https://github.com/CGAL/cgal/commit/f8449dcec4a48873c814300b1012b3ba37de5ef7
Inefficient Concurrency control and synchronization,,,Unncessary locks,,,coarse-grain locks,,,,,,,,Eliminate unnecessary lock,by unlock early,https://github.com/TileDB-Inc/TileDB/commit/236dd7b5a57eaf4f6ea818161767764438eda54d
Inefficient Concurrency control and synchronization,,,Unncessary strong memory consistency,1,,,,,,,,,,Replace strong consistency with an weaker one,Eliminate strong memory fence in the presenece of cache consistency,https://github.com/xianyi/OpenBLAS/commit/d148ec4ea18e672dacb1270d4a5308ccaaae18bc
Inefficient Concurrency control and synchronization,,,Lock management overhead,1,,,,,,,,,,Efficient lock implementation with atomics,replaced locks with atomic intrinsics,https://github.com/xianyi/OpenBLAS/commit/208c7e7ca50a8bfdfabbec750bdc538023c94aed
Inefficient Concurrency control and synchronization,,,Unnecessary synchronization,2,,,,,,,,,,Eliminate unncessary synchronization,,https://github.com/openmm/openmm/commit/082019994d4c4a60629777164caa43edb43b60d8
Inefficient Concurrency control and synchronization,,,Unnecessary synchronization,,,,,,,,,,,Rewrite kernel to make memory access warp-synchronous,,https://github.com/gromacs/gromacs/commit/bb4128daf630719a670dc795b2cf2cc937c2c8f1
Unnecessary process communiction,2,,Unnecessary synchronization,,,,,,,,,,,Avoid unnecessary communication,,https://github.com/gromacs/gromacs/commit/0a5a594e3eb093bc0e4183066ac5ccee1ba32c57
Unnecessary process communiction,,,Unnecessary synchronization,,,,,,,,,,,Avoid unnecessary communication,,https://github.com/libMesh/libmesh/commit/24a22afdcac7061f41f7bf89c5a88cdf014fb4f1
Inefficient algorithm /data-structure and their implementation,73,"39,25%",Unnecessary operation/traversal/function call,13,"6,99%",Unnecessary computation,2,,,,,,,Reduce iteration/traversal of data structure,data structure design to avoid unnecessary particle collition detection,https://github.com/OpenFOAM/OpenFOAM-dev/commit/91e84b9004c4a9be2c135465617783f21d28dc71
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary computation,,,,,,,Reduce iteration/traversal of data structure,reduce iteration/traversal of data structure,,https://github.com/gromacs/gromacs/commit/7b4d632dd09d0714f65ec48d7380084d65907c4b
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary function call,1,,,,,,Eliminating unnecessary operation,,,https://github.com/lattice/quda/commit/cc5e859c7f776475e235fcb2fc7cc3ef7b6926e4
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Inefficient sparse array computation,1,,,,,Stores compressed data for sparse array,data structure transformation,,,https://github.com/TileDB-Inc/TileDB/commit/f4c61783d886b337acf30772e5912cbbe286685f
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary traversal,8,"4,30%",,,,Search sorted data-structure and stop when found,Reduce iteration/traversal of data structure,bail out early,,https://github.com/openmm/openmm/commit/8bcff367565b896f7468161480f4d446254a8a13
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary traversal,,,,,,,Reduce iteration/traversal of data structure,,,https://github.com/CGAL/cgal/commit/c66604509d6f0aec527b35d119698cf798da838f
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary traversal,,,,,,,Reduce iteration/traversal of data structure,narrow search space,,https://github.com/mlpack/mlpack/commit/18f4b5ce035f0f4cd37bbe4436795d93b31fb872
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary traversal,,,,,,,Reduce iteration/traversal of data structure,bail out early,,https://github.com/xianyi/OpenBLAS/commit/2470129132df121aa922e4abe955c64a5d1385cb
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary traversal,,,,,,,Reduce iteration/traversal of data structure,bail out early,,https://github.com/CGAL/cgal/commit/73e9e867c20742e2b8dcc65a0606118094c00c46
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary traversal,,,,,,,Reduce iteration/traversal of data structure,bail out early,,https://github.com/lammps/lammps/commit/c3aa705d0409ddf9457cd1ba86e43ef10fc42d6e
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary traversal,,,,,,,lower complexity algorithm - domain specific,Tuning parameter - Domain specific,,https://github.com/mlpack/mlpack/commit/309b766e6642805fa805cedb4563477f8dcf5419
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary traversal,,,unnecessary sort,,,,Eliminating unnecessary operation,,,https://github.com/hypre-space/hypre/commit/827e7997de0179d9ed0787ff0c307e36ceb2ecbc
Inefficient algorithm /data-structure and their implementation,,,Unnecessary operation/traversal/function call,,,Unnecessary itermediate variable usage,1,,,,,,kernel fusion,,,https://github.com/lammps/lammps/commit/bcfc606efb2622e9afdfae6984f6b01a187f0997
Inefficient algorithm /data-structure and their implementation,,"8,60%",Redundant operation,16,8.60%,Redundant traversal,1,,,,,Caching the result of past traversal,caching,,,https://github.com/CGAL/cgal/commit/351249b03c662c4aa53b289f9ceb61c0a8067926
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant allocation,2,,,,,,Loop invariant code motion,,,https://github.com/CGAL/cgal/commit/e9cc8bcd5e71ca0b9b7b5888b7d400f9e24417d4
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant allocation,,,,,,,Loop invariant code motion,Allocate outside loop and reuse,,https://github.com/arrayfire/arrayfire/commit/ee30e2729744afb157276107e1f74b4085b38e72
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,multtranspose in loop,,,,Loop invariant code motion,,,https://github.com/mfem/mfem/commit/2c9ee23a19c62b98da270a05dc868c17f070a788
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,,,,,Loop invariant code motion,,,https://github.com/casadi/casadi/commit/43880425898271af55d22a651597f98d0a3562b6
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,Dead store,,,,Eliminating unnecessary operation,,,https://github.com/mlpack/mlpack/commit/18f4b5ce035f0f4cd37bbe4436795d93b31fb872
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,,,,avoid expensive function call if matrix size is small,Eliminating unnecessary operation,,,https://github.com/xianyi/OpenBLAS/commit/66316b9f4c8c7c48eed8b29e86f64581c02d45b0
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,12,"6,45%",Redundant sort operation,,,,Loop invariant code motion,,,https://github.com/libMesh/libmesh/commit/1ad14f2705496281cbc7afd603ed513cab557e15
